Species	Substrate	Vmax (μM/min)	Km (mM)	Specific activity (U/mg)	Kcat (s-1)	Kcat/Km (s-1/mM)	Ref.
Burkholderia ubonensis	p-NP acetate	NR	3.89	73.14	166.6	42.82	(Yang et al., 2016)
Burkholderia ubonensis	p-NP butyrate	NR	3.77	167.06	287.6	76.29	(Yang et al., 2016)
Burkholderia ubonensis	p-NP caprylate	NR	2.94	203.53	236	80.27	(Yang et al., 2016)
Burkholderia ubonensis	p-NP decanoate	NR	1.30	241.03	221	169.91	(Yang et al., 2016)
Burkholderia ubonensis	p-NP laurate	NR	0.77	303.65	259.3	336.69	(Yang et al., 2016)
Burkholderia ubonensis	p-NP myristate	NR	0.72	362.82	391.6	543.93	(Yang et al., 2016)
Burkholderia ubonensis	p-NP palmitate	NR	2.36	86.22	351.7	149.03	(Yang et al., 2016)
Bacillus stratosphericus	p-NP acetate	NR	1.94	NR	38.9	72.86	(Gricajeva et al., 2016)
Bacillus stratosphericus	p-NP butyrate	NR	0.535	7.65	8.45	59.29	(Gricajeva et al., 2016)
Bacillus stratosphericus	p-NP caproate	NR	0.143	4.66	0.167	26.02	(Gricajeva et al., 2016)
Bacillus stratosphericus	p-NP laurate	NR	0.0064	1.13	NR	NR	(Gricajeva et al., 2016)
Acinetobacter sp. XMZ-26	p-NP acetate	NR	1.563	NR	2565	1641	(Zheng et al., 2011)
Acinetobacter sp. XMZ-26	p-NP butyrate	NR	0.867	NR	2452	2829	(Zheng et al., 2011)
Acinetobacter sp. XMZ-26	p-NP octanoate	NR	0.075	NR	560.5	7377	(Zheng et al., 2011)
Acinetobacter sp. XMZ-26	p-NP decanoate	NR	0.155	NR	589.7	3809	(Zheng et al., 2011)
Acinetobacter sp. XMZ-26	p-NP myristate	NR	0.282	NR	58.86	208.5	(Zheng et al., 2011)
Acinetobacter sp. XMZ-26	p-NP palmitate	NR	0.349	NR	22.18	63.57	(Zheng et al., 2011)
